,zip_code,latitude,longitude,zip_code_str,county
212,6614,41.232466,-73.129873,06614,0
213,6615,41.171614,-73.13216,06615,2
214,6702,41.556461,-73.045886,06702,0
215,6704,41.588692,-73.03539,06704,0
216,6705,41.547103,-72.992727,06705,0
217,6706,41.532212,-73.025096,06706,0
218,6708,41.550872,-73.068653,06708,0
219,6710,41.569145,-73.045817,06710,0
220,6712,41.499247,-72.975634,06712,0
221,6716,41.595705,-72.969384,06716,0
222,6750,41.723731,-73.268144,06750,3
223,6751,41.635759,-73.211422,06751,3
224,6752,41.520294,-73.361093,06752,3
225,6754,41.775423,-73.362996,06754,3
226,6755,41.650558,-73.479353,06755,3
227,6756,41.849537,-73.234002,06756,3
228,6757,41.743606,-73.459799,06757,3
229,6758,41.673737,-73.245753,06758,3
230,6759,41.75364,-73.212028,06759,3
231,6762,41.530545,-73.121576,06762,0
232,6763,41.694323,-73.209998,06763,3
233,6770,41.488428,-73.053383,06770,0
234,6776,41.60132,-73.422832,06776,3
235,6777,41.691307,-73.334403,06777,3
236,6778,41.71349,-73.111909,06778,3
237,6779,41.596057,-73.081442,06779,0
238,6782,41.651536,-73.042744,06782,0
239,6783,41.555501,-73.296015,06783,3
240,6784,41.576035,-73.491717,06784,3
241,6785,41.695048,-73.464788,06785,3
242,6786,41.672734,-73.018048,06786,0
243,6787,41.67108,-73.085047,06787,3
244,6790,41.834052,-73.131413,06790,3
245,6791,41.761345,-73.060443,06791,3
246,6793,41.633712,-73.288916,06793,3
247,6794,41.649454,-73.323557,06794,3
248,6795,41.623892,-73.126195,06795,3
249,6796,41.866034,-73.342084,06796,3
250,6798,41.561632,-73.206096,06798,3
251,6801,41.369778,-73.389503,06801,2
252,6804,41.469885,-73.393667,06804,2
253,6807,41.056732,-73.592029,06807,2
254,6810,41.374284,-73.457611,06810,2
255,6811,41.422586,-73.478364,06811,2
256,6812,41.480318,-73.486863,06812,2
257,6820,41.076202,-73.48008,06820,2
258,6824,41.173039,-73.280818,06824,2
259,6825,41.196583,-73.243254,06825,2
260,6830,41.037605,-73.624339,06830,2
261,6831,41.088724,-73.658838,06831,2
262,6840,41.160393,-73.500124,06840,2
263,6850,41.126683,-73.447459,06850,2
264,6851,41.138233,-73.401526,06851,2
265,6853,41.066109,-73.437996,06853,2
266,6854,41.08391,-73.426615,06854,2
267,6855,41.08424,-73.394991,06855,2
268,6856,41.111223,-73.42086,06856,2
269,6870,41.024446,-73.57115,06870,2
270,6877,41.310803,-73.499837,06877,2
271,6878,41.030093,-73.583719,06878,2
272,6880,41.133275,-73.348699,06880,2
273,6883,41.22742,-73.366988,06883,2
274,6890,41.148535,-73.287843,06890,2
275,6896,41.305415,-73.392584,06896,2
276,6897,41.211277,-73.440974,06897,2
277,6901,41.053592,-73.538169,06901,2
278,6902,41.059347,-73.544384,06902,2
279,6903,41.136018,-73.571142,06903,2
280,6905,41.088293,-73.542669,06905,2
281,6906,41.071023,-73.522621,06906,2
282,6907,41.100918,-73.520517,06907,2
