,Unnamed: 0,zip_code,latitude,longitude,county
133,415,19140,40.012177,-75.145495,15
134,416,19141,40.037574,-75.145697,43
135,417,19142,39.921752,-75.233279,52
136,418,19143,39.942579,-75.225905,50
137,419,19144,40.033858,-75.174075,45
138,420,19145,39.909857,-75.198265,49
139,421,19146,39.939496,-75.184146,0
140,422,19147,39.935327,-75.152489,59
141,423,19148,39.911612,-75.151475,59
142,424,19149,40.037722,-75.065768,40
143,425,19150,40.072495,-75.171824,9
144,426,19151,39.97957,-75.257036,54
145,427,19152,40.060946,-75.046985,40
146,428,19153,39.893446,-75.229648,38
147,429,19154,40.096483,-74.983217,8
148,430,19301,40.040279,-75.480341,61
149,432,19311,39.821095,-75.771347,51
150,433,19312,40.031291,-75.454948,61
151,435,19317,39.8608,-75.599381,65
152,436,19319,39.924558,-75.520943,65
153,439,19333,40.041872,-75.423597,5
154,442,19342,39.904122,-75.499422,36
155,446,19348,39.87028,-75.712913,28
156,447,19350,39.760276,-75.796353,51
157,449,19355,40.046452,-75.532998,61
158,460,19382,39.927665,-75.613166,65
159,470,19428,40.080337,-75.300461,55
160,477,19444,40.087755,-75.253168,55
161,484,19462,40.115345,-75.28199,55
