,zip_code,latitude,longitude,county
1376,13813,42.163707,-75.551328,18
1377,13815,42.547866,-75.530855,18
1378,13820,42.483456,-75.036874,31
1379,13825,42.435577,-75.204553,56
1380,13826,42.09982,-75.638796,18
1381,13827,42.117827,-76.249166,23
1382,13830,42.437694,-75.627357,18
1383,13832,42.65813,-75.672216,35
1384,13833,42.198205,-75.768632,18
1385,13834,42.530981,-74.965895,31
1386,13835,42.383214,-76.178996,23
1387,13838,42.285099,-75.388127,18
1388,13839,42.262039,-75.252051,18
1389,13841,42.40699,-75.842161,35
1390,13842,42.3767,-74.723609,31
1391,13843,42.503033,-75.382469,56
1392,13844,42.608179,-75.668317,35
1393,13845,42.053431,-76.354924,23
1394,13846,42.363723,-75.054746,31
1395,13847,42.186107,-75.291002,18
1396,13849,42.350096,-75.309317,18
1397,13850,42.049395,-76.017594,23
1398,13856,42.171041,-75.183316,18
1399,13859,42.372464,-75.245243,56
1400,13860,42.453131,-74.932972,31
1401,13861,42.50854,-75.151092,56
1402,13862,42.330958,-75.931008,23
1403,13863,42.455495,-75.898915,35
1404,13864,42.27176,-76.388557,23
1405,13865,42.032061,-75.615617,18
1406,13901,42.183203,-75.876048,23
1407,13902,42.088824,-75.968883,23
1408,13903,42.04187,-75.889077,23
1409,13904,42.134123,-75.820206,18
1410,13905,42.170436,-75.943434,23
1411,14001,43.036573,-78.510831,10
1412,14004,42.891371,-78.503687,38
1413,14005,42.920586,-78.250065,10
1414,14006,42.63313,-79.021745,17
1415,14008,43.312726,-78.623166,10
1416,14009,42.593154,-78.397461,38
1417,14011,42.830674,-78.299709,38
1418,14012,43.332173,-78.532622,10
1419,14013,43.08629,-78.397746,10
1420,14020,42.99619,-78.213412,10
1421,14024,42.581363,-78.245468,38
1422,14025,42.622205,-78.727034,38
1423,14026,42.942356,-78.687965,21
1424,14028,43.31804,-78.717617,21
1425,14030,42.564386,-78.507624,38
1426,14031,42.983128,-78.614258,21
1427,14032,43.046729,-78.630773,21
1428,14033,42.654382,-78.692124,38
1429,14034,42.500569,-78.865375,17
1430,14035,42.490778,-78.848389,17
1431,14036,42.973851,-78.389527,10
1432,14037,42.802789,-78.453328,38
1433,14039,42.85148,-78.173096,7
1434,14040,42.890873,-78.376631,38
1435,14041,42.398835,-78.971581,17
1436,14042,42.475564,-78.488807,38
1437,14043,42.901971,-78.703418,21
1438,14047,42.687367,-78.986636,17
1439,14048,42.484359,-79.317005,27
1440,14051,43.042842,-78.699413,21
1441,14052,42.772531,-78.584321,38
1442,14054,42.919587,-78.126802,7
1443,14055,42.562879,-78.600126,38
1444,14057,42.646574,-78.874782,17
1445,14058,43.102049,-78.168857,10
1446,14059,42.833552,-78.634046,38
1447,14060,42.450155,-78.296467,13
1448,14061,42.593878,-79.079302,17
1449,14062,42.438404,-79.143107,17
1450,14063,42.40869,-79.331304,27
1451,14065,42.484905,-78.312811,38
1452,14066,42.629054,-78.185536,7
1453,14067,43.213204,-78.568403,10
1454,14068,43.027386,-78.756666,21
1455,14069,42.615234,-78.642935,38
1456,14070,42.419658,-78.917725,17
1457,14072,43.017901,-78.962657,21
1458,14075,42.712657,-78.834708,17
1459,14080,42.648324,-78.548308,38
1460,14081,42.563203,-79.067834,17
1461,14082,42.656563,-78.385184,38
1462,14085,42.717882,-78.921629,17
1463,14086,42.909063,-78.629256,21
1464,14091,42.538233,-78.893008,17
1465,14092,43.17322,-78.993074,21
1466,14094,43.157758,-78.701995,21
1467,14098,43.334373,-78.380616,10
1468,14101,42.392651,-78.538203,38
1469,14102,42.837026,-78.557725,38
1470,14103,43.211161,-78.37677,10
1471,14105,43.199166,-78.483903,10
1472,14108,43.263343,-78.72695,21
1473,14109,43.137952,-79.034134,21
1474,14111,42.580255,-78.904691,17
1475,14112,42.697963,-78.939953,17
1476,14113,42.671576,-78.339931,38
1477,14120,43.079317,-78.842654,21
1478,14125,43.084919,-78.274609,10
1479,14126,43.335882,-78.728636,21
1480,14127,42.752803,-78.739697,38
1481,14129,42.481182,-79.017384,17
1482,14130,42.555981,-78.147652,7
1483,14131,43.238603,-78.899823,21
1484,14132,43.14933,-78.877732,21
1485,14134,42.527686,-78.523981,38
1486,14135,42.487694,-79.2409,27
1487,14136,42.517379,-79.174812,17
1488,14138,42.379512,-79.036656,17
1489,14139,42.718405,-78.541402,38
1490,14141,42.524967,-78.712076,17
1491,14143,42.972268,-78.064247,7
1492,14145,42.729606,-78.434328,38
1493,14150,42.998084,-78.878256,21
1494,14167,42.748523,-78.322954,38
1495,14168,42.520385,-78.990541,17
1496,14169,42.766144,-78.523698,38
1497,14170,42.700245,-78.674307,38
1498,14171,42.424674,-78.649832,17
1499,14172,43.272672,-78.812943,21
1500,14173,42.525971,-78.473102,38
1501,14174,43.249139,-78.998325,21
1502,14201,42.89606,-78.886424,21
1503,14202,42.881489,-78.877477,21
1504,14203,42.868914,-78.869693,21
1505,14204,42.882138,-78.861325,21
1506,14206,42.880078,-78.810469,21
1507,14207,42.951932,-78.898883,21
1508,14208,42.91589,-78.853098,21
1509,14209,42.91396,-78.866027,21
1510,14210,42.862657,-78.828768,21
1511,14211,42.906731,-78.819891,21
1512,14212,42.894211,-78.820173,21
1513,14213,42.918097,-78.892406,21
1514,14214,42.93964,-78.840689,21
